title,datetime,description,like,dislike,channelId
"Ăn nhầm cua độc, 1 người Cần Thơ phải chuyển viện gấp bằng máy bay | THDT",2020-05-12T06:43:10Z,"Click Theo dõi (Subscribe) để nhận thông tin tin tức, khoa giáo, giải trí, ẩm thực... đậm chất miền Tây trên kênh Youtube của Truyền hình Đồng Tháp....",36,1,UCDIl_FogyBJAUI3QVyLet8w
"Căn nhà 3 thế hệ, toàn người bệnh, nỗi khổ không tiền đành ăn cơm chan nước lạnh I Phước Cần Thơ",2020-05-11T13:17:32Z,"Căn nhà 3 thế hệ, toàn người bệnh, nỗi khổ không tiền đành ăn cơm chan nước lạnh I Phước Cần Thơ #PhướcCầnThơ #phuoccantho #thiennguyen Căn nhà ...",366,12,UCB0WpaZVY0u9575U_WZnV4Q
5 ĐỊA ĐIỂM VUI VÀ ĐẸP NHẤT CẦN THƠ  | Du Lịch Cần Thơ Miền Tây Việt Nam 2019,2019-09-10T12:04:59Z,"Bến Ninh Kiều, Khu Du Lịch Mỹ Khánh, Công Viên Giải Trí Kittyd and Minnied, Chợ Đêm Cần Thơ, Thiền Viện Trúc Lâm Phương Nam......",2276,176,UCWnOG09q7JXW-cZQrNEGQWg
Phôi Mai Vàng Cần Thơ Quái đẹp giá rẻ Bao ship toàn quốc 12/5/2020🙂ATuấn 0933624767/CS Cần Thơ HG,2020-05-12T08:30:16Z,phôimaiđẹp#phoimaigiao #ATuan  0933624767 Cô Chú Anh Chị yêu thích phôi mai của anh Tuấn LHb0933624767 Liên hệ qcao: 0353578494 Kênh chia sẽ ...,10,1,UCvlYEUFPW9lRNy_OaAU6nEQ
Du lịch Cần Thơ 3 ngày 2 đêm,2018-05-10T16:54:57Z,"""Cần Thơ gạo trắng nước trong Ai đi đến đó lòng không muốn dìa"" Mà thiệt tình là Cần Thơ đi không muốn về bởi vì đây là miền đất thật ngọt...",906,42,UCOxNHHBrpFRNfkzOfTMor4g
Lãnh đạo TP. Cần Thơ kiểm tra công trình dự án nâng cấp đô thị,2020-05-12T08:31:15Z,"Sáng ngày 12/5, Phó Chủ tịch Thường trực UBND TP Cần Thơ Đào Anh Dũng cùng lãnh đạo một số sở ngành kiểm tra 2 công trình thuộc dự án nâng cấp đô...",2,0,UCCf02lBqfg4qxvKyKiGaYsw
VIỆT HƯƠNG - HOÀNG MẬP NÁO LOẠN CHỢ ĐÊM CẦN THƠ | Những Món Ăn Vặt Việt Nam,2019-12-05T13:00:01Z,VIỆT HƯƠNG - HOÀNG MẬP NÁO LOẠN CHỢ ĐÊM CẦN THƠ | Những Món Ăn Vặt Việt Nam --------------------------- ▻SUBSCRIBE kênh YouTube của VIỆT ...,8800,341,UC0gOo0Kb5B9zOIvIh8qcQdA
TOP 5 MÓN NÊN ĂN THỬ Ở CẦN THƠ (Oops Banana),2019-05-19T11:00:02Z,TOP 5 MÓN NÊN ĂN THỬ Ở CẦN THƠ (Oops Banana) ▻ Fanpage: https://www.facebook.com/mcOopsBanana ▻ Instagram: ...,16054,516,UCuygBqDmC3r93ABO6BUMj6A
VIỆT HƯƠNG - HOÀNG MẬP NÁO LOẠN CHỢ ĐÊM CẦN THƠ - PHẦN 2 | Những Món Ăn Vặt Việt Nam,2019-12-12T13:00:12Z,VIỆT HƯƠNG - HOÀNG MẬP NÁO LOẠN CHỢ ĐÊM CẦN THƠ - PHẦN 2 | Những Món Ăn Vặt Việt Nam #viethuong #cantho #hoangmap #chodem ...,3975,131,UC0gOo0Kb5B9zOIvIh8qcQdA
Tổng hợp Lão Nông BOLERO Cần Thơ 2019 và Guitar Bolero Mái Lá,2019-06-05T13:30:01Z,Tổng hợp Lão Nông BOLERO Cần Thơ 2019 và Guitar Bolero Mái Lá - những bản Nhạc Vàng Bolero Những bài hát live ( hát và thu âm thu hình trực tiếp ) đêm ...,8833,1533,UCzFXdBGrc1nAdK_R0Hb2YNg
Ninh Kiều Em Gái Cần Thơ - Liên Khúc Miền Tây Nhạc Dân Ca Trữ Tình Quê Hương Đặc Sắc Nhất 2020,2017-08-03T02:58:02Z,Ninh Kiều Em Gái Cần Thơ - Liên Khúc Miền Tây Nhạc Dân Ca Trữ Tình Quê Hương Đặc Sắc Nhất 2020 ............................................................................,836,328,UCDlgTcH9j4fC84uM1h6rCSA
Gặp Gỡ Nhân Chứng Sống Kể Về 7 Ngọ - Công Bố Tiền Quỹ Hiện Tại Của Ngoại Rẫy Phần 27 I Phước Cần Thơ,2020-05-10T12:31:01Z,Gặp Gỡ Nhân Chứng Sống Kể Về 7 Ngọ - Công Bố Tiền Quỹ Hiện Tại Của Ngoại Rẫy Phần 27 I Phước Cần Thơ #PhướcCầnThơ #phuoccantho #NgoạiRẫy ...,1631,90,UCB0WpaZVY0u9575U_WZnV4Q
